"Notes","State","State Code","Year","Year Code","OE Gestational Age 10","OE Gestational Age 10 Code","Infant Birth Weight 12","Infant Birth Weight 12 Code",Births,Average Birth Weight
,"Alabama","01","2017","2017","36 weeks","05","4000 - 4499 grams","09",28,4165.75
,"Alabama","01","2017","2017","37 - 39 weeks","06","1000 - 1499 grams","03",16,1346.38
,"Alabama","01","2017","2017","37 - 39 weeks","06","1500 - 1999 grams","04",98,1849.05
,"Alabama","01","2017","2017","37 - 39 weeks","06","2000 - 2499 grams","05",1618,2350.05
,"Alabama","01","2017","2017","37 - 39 weeks","06","2500 - 2999 grams","06",9520,2804.48
,"Alabama","01","2017","2017","37 - 39 weeks","06","3000 - 3499 grams","07",17922,3243.92
,"Alabama","01","2017","2017","37 - 39 weeks","06","3500 - 3999 grams","08",9424,3705.29
,"Alabama","01","2017","2017","37 - 39 weeks","06","4000 - 4499 grams","09",2101,4182.49
,"Alabama","01","2017","2017","37 - 39 weeks","06","4500 - 4999 grams","10",306,4658.88
,"Alabama","01","2017","2017","37 - 39 weeks","06","5000 - 8165 grams","11",19,5217.47
,"Alabama","01","2017","2017","40 weeks","07","2000 - 2499 grams","05",68,2354.47
,"Alabama","01","2017","2017","40 weeks","07","2500 - 2999 grams","06",996,2829.67
,"Alabama","01","2017","2017","40 weeks","07","3000 - 3499 grams","07",3735,3270.59
,"Alabama","01","2017","2017","40 weeks","07","3500 - 3999 grams","08",3166,3718.61
,"Alabama","01","2017","2017","40 weeks","07","4000 - 4499 grams","09",822,4179.90
,"Alabama","01","2017","2017","40 weeks","07","4500 - 4999 grams","10",120,4634.76
,"Alabama","01","2017","2017","40 weeks","07","5000 - 8165 grams","11",10,5186.80
,"Alabama","01","2017","2017","41 weeks","08","2500 - 2999 grams","06",114,2853.28
,"Alabama","01","2017","2017","41 weeks","08","3000 - 3499 grams","07",609,3281.82
,"Alabama","01","2017","2017","41 weeks","08","3500 - 3999 grams","08",736,3728.31
,"Alabama","01","2017","2017","41 weeks","08","4000 - 4499 grams","09",246,4198.72
,"Alabama","01","2017","2017","41 weeks","08","4500 - 4999 grams","10",42,4694.95
,"Alabama","01","2017","2017","42 weeks or more","09","3000 - 3499 grams","07",19,3236.47
,"Alabama","01","2017","2017","42 weeks or more","09","3500 - 3999 grams","08",47,3765.79
,"Alabama","01","2017","2017","42 weeks or more","09","4000 - 4499 grams","09",25,4170.16
,"Alabama","01","2017","2017","Unknown or Not Stated","10","3000 - 3499 grams","07",13,3188.31
,"Alabama","01","2018","2018","Under 20 weeks","01","499 grams or less","01",12,278.33
,"Alabama","01","2018","2018","20 - 27 weeks","02","499 grams or less","01",104,403.65
,"Alabama","01","2018","2018","20 - 27 weeks","02","500 - 999 grams","02",310,711.33
,"Alabama","01","2018","2018","20 - 27 weeks","02","1000 - 1499 grams","03",60,1125.85
,"Alabama","01","2018","2018","28 - 31 weeks","03","500 - 999 grams","02",78,879.96
,"Alabama","01","2018","2018","28 - 31 weeks","03","1000 - 1499 grams","03",354,1261.72
,"Alabama","01","2018","2018","28 - 31 weeks","03","1500 - 1999 grams","04",203,1680.60
,"Alabama","01","2018","2018","28 - 31 weeks","03","2000 - 2499 grams","05",26,2190.23
,"Alabama","01","2018","2018","28 - 31 weeks","03","2500 - 2999 grams","06",15,2730.07
,"Alabama","01","2018","2018","32 - 35 weeks","04","1000 - 1499 grams","03",125,1343.46
,"Alabama","01","2018","2018","32 - 35 weeks","04","1500 - 1999 grams","04",780,1790.67
,"Alabama","01","2018","2018","32 - 35 weeks","04","2000 - 2499 grams","05",1394,2245.96
,"Alabama","01","2018","2018","32 - 35 weeks","04","2500 - 2999 grams","06",704,2705.62
,"Alabama","01","2018","2018","32 - 35 weeks","04","3000 - 3499 grams","07",179,3184.66
,"Alabama","01","2018","2018","32 - 35 weeks","04","3500 - 3999 grams","08",40,3659.28
,"Alabama","01","2018","2018","32 - 35 weeks","04","4000 - 4499 grams","09",15,4212.27
,"Alabama","01","2018","2018","36 weeks","05","1500 - 1999 grams","04",122,1842.37
,"Alabama","01","2018","2018","36 weeks","05","2000 - 2499 grams","05",692,2303.90
,"Alabama","01","2018","2018","36 weeks","05","2500 - 2999 grams","06",1211,2741.86
,"Alabama","01","2018","2018","36 weeks","05","3000 - 3499 grams","07",558,3187.30
,"Alabama","01","2018","2018","36 weeks","05","3500 - 3999 grams","08",133,3678.44
,"Alabama","01","2018","2018","36 weeks","05","4000 - 4499 grams","09",31,4220.55
,"Alabama","01","2018","2018","37 - 39 weeks","06","1000 - 1499 grams","03",18,1309.00
,"Alabama","01","2018","2018","37 - 39 weeks","06","1500 - 1999 grams","04",112,1864.26
,"Alabama","01","2018","2018","37 - 39 weeks","06","2000 - 2499 grams","05",1688,2346.88
,"Alabama","01","2018","2018","37 - 39 weeks","06","2500 - 2999 grams","06",9352,2800.41
,"Alabama","01","2018","2018","37 - 39 weeks","06","3000 - 3499 grams","07",17242,3246.70
,"Alabama","01","2018","2018","37 - 39 weeks","06","3500 - 3999 grams","08",9561,3708.74
,"Alabama","01","2018","2018","37 - 39 weeks","06","4000 - 4499 grams","09",2032,4180.07
,"Alabama","01","2018","2018","37 - 39 weeks","06","4500 - 4999 grams","10",282,4662.74
,"Alabama","01","2018","2018","37 - 39 weeks","06","5000 - 8165 grams","11",29,5210.79
,"Alabama","01","2018","2018","40 weeks","07","2000 - 2499 grams","05",63,2363.86
,"Alabama","01","2018","2018","40 weeks","07","2500 - 2999 grams","06",876,2837.85
,"Alabama","01","2018","2018","40 weeks","07","3000 - 3499 grams","07",3589,3268.06
,"Alabama","01","2018","2018","40 weeks","07","3500 - 3999 grams","08",3138,3713.41
,"Alabama","01","2018","2018","40 weeks","07","4000 - 4499 grams","09",739,4180.86
,"Alabama","01","2018","2018","40 weeks","07","4500 - 4999 grams","10",105,4639.30
,"Alabama","01","2018","2018","41 weeks","08","2500 - 2999 grams","06",101,2845.32
,"Alabama","01","2018","2018","41 weeks","08","3000 - 3499 grams","07",544,3269.96
,"Alabama","01","2018","2018","41 weeks","08","3500 - 3999 grams","08",655,3727.86
,"Alabama","01","2018","2018","41 weeks","08","4000 - 4499 grams","09",219,4190.24
,"Alabama","01","2018","2018","41 weeks","08","4500 - 4999 grams","10",41,4655.15
,"Alabama","01","2018","2018","42 weeks or more","09","3000 - 3499 grams","07",37,3285.27
,"Alabama","01","2018","2018","42 weeks or more","09","3500 - 3999 grams","08",43,3710.07
,"Alabama","01","2018","2018","42 weeks or more","09","4000 - 4499 grams","09",14,4203.50
,"Alabama","01","2018","2018","Unknown or Not Stated","10","2500 - 2999 grams","06",13,2812.62
,"Alabama","01","2018","2018","Unknown or Not Stated","10","3000 - 3499 grams","07",12,3172.58
,"Alabama","01","2019","2019","Under 20 weeks","01","Unknown or Not Stated","12",12,Not Applicable
,"Alabama","01","2019","2019","20 - 27 weeks","02","499 grams or less","01",122,401.24
,"Alabama","01","2019","2019","20 - 27 weeks","02","500 - 999 grams","02",304,731.16
,"Alabama","01","2019","2019","20 - 27 weeks","02","1000 - 1499 grams","03",59,1120.86
,"Alabama","01","2019","2019","28 - 31 weeks","03","500 - 999 grams","02",78,822.71
,"Alabama","01","2019","2019","28 - 31 weeks","03","1000 - 1499 grams","03",354,1264.48
,"Alabama","01","2019","2019","28 - 31 weeks","03","1500 - 1999 grams","04",204,1688.95
,"Alabama","01","2019","2019","28 - 31 weeks","03","2000 - 2499 grams","05",26,2156.27
,"Alabama","01","2019","2019","28 - 31 weeks","03","2500 - 2999 grams","06",11,2676.91
,"Alabama","01","2019","2019","32 - 35 weeks","04","1000 - 1499 grams","03",142,1350.58
,"Alabama","01","2019","2019","32 - 35 weeks","04","1500 - 1999 grams","04",749,1797.33
,"Alabama","01","2019","2019","32 - 35 weeks","04","2000 - 2499 grams","05",1374,2242.82
,"Alabama","01","2019","2019","32 - 35 weeks","04","2500 - 2999 grams","06",750,2701.53
,"Alabama","01","2019","2019","32 - 35 weeks","04","3000 - 3499 grams","07",179,3191.72
,"Alabama","01","2019","2019","32 - 35 weeks","04","3500 - 3999 grams","08",41,3709.54
,"Alabama","01","2019","2019","32 - 35 weeks","04","4000 - 4499 grams","09",17,4116.82
,"Alabama","01","2019","2019","36 weeks","05","1500 - 1999 grams","04",112,1852.44
,"Alabama","01","2019","2019","36 weeks","05","2000 - 2499 grams","05",699,2300.87
,"Alabama","01","2019","2019","36 weeks","05","2500 - 2999 grams","06",1310,2750.10
,"Alabama","01","2019","2019","36 weeks","05","3000 - 3499 grams","07",565,3194.58
,"Alabama","01","2019","2019","36 weeks","05","3500 - 3999 grams","08",132,3677.87
,"Alabama","01","2019","2019","36 weeks","05","4000 - 4499 grams","09",29,4204.38
,"Alabama","01","2019","2019","37 - 39 weeks","06","1000 - 1499 grams","03",25,1256.00
,"Alabama","01","2019","2019","37 - 39 weeks","06","1500 - 1999 grams","04",97,1818.31
,"Alabama","01","2019","2019","37 - 39 weeks","06","2000 - 2499 grams","05",1687,2338.86
,"Alabama","01","2019","2019","37 - 39 weeks","06","2500 - 2999 grams","06",9542,2801.28
,"Alabama","01","2019","2019","37 - 39 weeks","06","3000 - 3499 grams","07",18223,3244.65
,"Alabama","01","2019","2019","37 - 39 weeks","06","3500 - 3999 grams","08",10077,3702.77
,"Alabama","01","2019","2019","37 - 39 weeks","06","4000 - 4499 grams","09",2043,4182.41
,"Alabama","01","2019","2019","37 - 39 weeks","06","4500 - 4999 grams","10",285,4666.93
,"Alabama","01","2019","2019","37 - 39 weeks","06","5000 - 8165 grams","11",33,5203.06
,"Alabama","01","2019","2019","40 weeks","07","2000 - 2499 grams","05",64,2357.31
,"Alabama","01","2019","2019","40 weeks","07","2500 - 2999 grams","06",832,2844.89
,"Alabama","01","2019","2019","40 weeks","07","3000 - 3499 grams","07",3382,3271.53
,"Alabama","01","2019","2019","40 weeks","07","3500 - 3999 grams","08",2845,3715.11
,"Alabama","01","2019","2019","40 weeks","07","4000 - 4499 grams","09",694,4186.55
,"Alabama","01","2019","2019","40 weeks","07","4500 - 4999 grams","10",92,4651.71
,"Alabama","01","2019","2019","41 weeks","08","2500 - 2999 grams","06",77,2839.08
,"Alabama","01","2019","2019","41 weeks","08","3000 - 3499 grams","07",438,3279.14
,"Alabama","01","2019","2019","41 weeks","08","3500 - 3999 grams","08",533,3724.51
,"Alabama","01","2019","2019","41 weeks","08","4000 - 4499 grams","09",164,4196.52
,"Alabama","01","2019","2019","41 weeks","08","4500 - 4999 grams","10",35,4669.83
,"Alabama","01","2019","2019","42 weeks or more","09","3000 - 3499 grams","07",15,3348.60
,"Alabama","01","2019","2019","42 weeks or more","09","3500 - 3999 grams","08",38,3765.34
,"Alabama","01","2019","2019","42 weeks or more","09","4000 - 4499 grams","09",19,4195.26
,"Alabama","01","2019","2019","Unknown or Not Stated","10","2500 - 2999 grams","06",10,2787.70
,"Alabama","01","2019","2019","Unknown or Not Stated","10","3000 - 3499 grams","07",10,3248.10
,"Alabama","01","2020","2020","Under 20 weeks","01","Unknown or Not Stated","12",10,Not Applicable
,"Alabama","01","2020","2020","20 - 27 weeks","02","499 grams or less","01",85,382.02
,"Alabama","01","2020","2020","20 - 27 weeks","02","500 - 999 grams","02",316,724.95
,"Alabama","01","2020","2020","20 - 27 weeks","02","1000 - 1499 grams","03",67,1111.48
,"Alabama","01","2020","2020","28 - 31 weeks","03","500 - 999 grams","02",86,836.40
,"Alabama","01","2020","2020","28 - 31 weeks","03","1000 - 1499 grams","03",373,1260.82
,"Alabama","01","2020","2020","28 - 31 weeks","03","1500 - 1999 grams","04",199,1698.44
,"Alabama","01","2020","2020","28 - 31 weeks","03","2000 - 2499 grams","05",20,2186.70
,"Alabama","01","2020","2020","32 - 35 weeks","04","1000 - 1499 grams","03",125,1350.68
,"Alabama","01","2020","2020","32 - 35 weeks","04","1500 - 1999 grams","04",765,1795.79
,"Alabama","01","2020","2020","32 - 35 weeks","04","2000 - 2499 grams","05",1371,2249.54
,"Alabama","01","2020","2020","32 - 35 weeks","04","2500 - 2999 grams","06",798,2705.80
,"Alabama","01","2020","2020","32 - 35 weeks","04","3000 - 3499 grams","07",202,3189.23
,"Alabama","01","2020","2020","32 - 35 weeks","04","3500 - 3999 grams","08",43,3702.09
,"Alabama","01","2020","2020","32 - 35 weeks","04","4000 - 4499 grams","09",11,4124.36
,"Alabama","01","2020","2020","36 weeks","05","1500 - 1999 grams","04",111,1851.32
,"Alabama","01","2020","2020","36 weeks","05","2000 - 2499 grams","05",740,2306.18
,"Alabama","01","2020","2020","36 weeks","05","2500 - 2999 grams","06",1287,2741.05
,"Alabama","01","2020","2020","36 weeks","05","3000 - 3499 grams","07",609,3192.83
,"Alabama","01","2020","2020","36 weeks","05","3500 - 3999 grams","08",144,3700.33
,"Alabama","01","2020","2020","36 weeks","05","4000 - 4499 grams","09",25,4127.40
,"Alabama","01","2020","2020","37 - 39 weeks","06","1000 - 1499 grams","03",38,1286.39
,"Alabama","01","2020","2020","37 - 39 weeks","06","1500 - 1999 grams","04",141,1821.74
,"Alabama","01","2020","2020","37 - 39 weeks","06","2000 - 2499 grams","05",1658,2340.33
,"Alabama","01","2020","2020","37 - 39 weeks","06","2500 - 2999 grams","06",9553,2802.06
,"Alabama","01","2020","2020","37 - 39 weeks","06","3000 - 3499 grams","07",17677,3247.98
,"Alabama","01","2020","2020","37 - 39 weeks","06","3500 - 3999 grams","08",10223,3701.19
,"Alabama","01","2020","2020","37 - 39 weeks","06","4000 - 4499 grams","09",2175,4171.18
